,id,title,type,status,yes,no,veto,abstain,no_vote,count,most_vote,most_vote_ratio
13,772,Demand return of IonDAO funding,unknown,PASSED,48.0,0.0,0.0,40.0,31.0,119.0,yes,0.40336134453781514
14,771,Reevaluation of Liquid Staked OSMO held by the Community Pool stkOSMO Liquidity,Text,PASSED,62.0,5.0,0.0,28.0,26.0,121.0,yes,0.512396694214876
15,770,Reevaluation of Liquid Staked OSMO held by the Community Pool qOSMO Liquidity,Text,PASSED,58.0,5.0,0.0,33.0,26.0,122.0,yes,0.47540983606557374
16,769,Reevaluation of Liquid Staked OSMO held by the Community Pool stOSMO concentration,CommunityPoolSpend,PASSED,67.0,2.0,0.0,28.0,26.0,123.0,yes,0.5447154471544715
17,767,Reduce Pool Creation Fee to 20 USDC,ParameterChange,PASSED,75.0,7.0,1.0,15.0,26.0,124.0,yes,0.6048387096774194
18,764,proposal 0,SoftwareUpgrade,REJECTED,2.0,38.0,50.0,2.0,28.0,120.0,veto,0.4166666666666667
19,755,Add authz as ICA host allowed message,ParameterChange,PASSED,73.0,5.0,0.0,15.0,28.0,121.0,yes,0.6033057851239669
20,742,Fix whitewhaleosmosis cosmwasm pool interface,ParameterChange,PASSED,66.0,15.0,0.0,13.0,26.0,120.0,yes,0.55
21,741,Whitelist Address for Banana Vaults Deployment,ParameterChange,PASSED,60.0,13.0,0.0,22.0,25.0,120.0,yes,0.5
22,712,Allocate 7m OSMO to the OGP Multisig to Fund Market Making Operations for 12 Months,CommunityPoolSpend,PASSED,51.0,18.0,0.0,28.0,24.0,121.0,yes,0.4214876033057851
23,707,Allocate 7m OSMO to the OGP Multisig to Fund Market Making Operations for 12 Months,CommunityPoolSpend,FAILED,19.0,20.0,1.0,36.0,40.0,116.0,no_vote,0.3448275862068966
24,706,Osmosis Grants Program v3 Renewal,CommunityPoolSpend,FAILED,43.0,4.0,0.0,30.0,41.0,118.0,yes,0.3644067796610169
25,702,Sail DAO,CommunityPoolSpend,FAILED,70.0,1.0,0.0,20.0,27.0,118.0,yes,0.5932203389830508
26,700,Neutron  Osmosis Alignment,CommunityPoolSpend,PASSED,32.0,14.0,0.0,30.0,40.0,116.0,no_vote,0.3448275862068966
27,694,Sail with the Whale,CommunityPoolSpend,REJECTED,45.0,36.0,0.0,30.0,19.0,130.0,yes,0.34615384615384615
28,688,Signaling Proposal Verify TORI Token as a Verified Asset on Osmosis,Text,PASSED,65.0,11.0,0.0,18.0,26.0,120.0,yes,0.5416666666666666
29,666,Margined Protocol Whitelisted Address for Deployment of Power Perpetuals Contracts,ParameterChange,PASSED,63.0,0.0,0.0,27.0,29.0,119.0,yes,0.5294117647058824
30,655,Deposit 350K OSMO to the Levana Osmo Liquidity Pool,CommunityPoolSpend,PASSED,42.0,10.0,0.0,47.0,23.0,122.0,abstain,0.38524590163934425
31,652,Update medasdigital1 07tendermint2372 client,ClientUpdate,PASSED,64.0,0.0,1.0,32.0,23.0,120.0,yes,0.5333333333333333
32,650,Deploy 2M OSMO to an ampOSMO Supercharged Pool,CommunityPoolSpend,REJECTED,9.0,43.0,0.0,44.0,24.0,120.0,abstain,0.36666666666666664
33,645,Reduce Maximum Block Size,ParameterChange,REJECTED,56.0,29.0,0.0,16.0,20.0,121.0,yes,0.4628099173553719
34,641,Deploy 20M OSMO to the stOSMO Pool,CommunityPoolSpend,PASSED,55.0,26.0,0.0,15.0,24.0,120.0,yes,0.4583333333333333
35,640,Allow Genie contracts to be uploaded,ParameterChange,PASSED,47.0,12.0,2.0,32.0,26.0,119.0,yes,0.3949579831932773
36,639,Mutual token swap between Osmosis and MantaDAO,CommunityPoolSpend,PASSED,29.0,12.0,0.0,54.0,25.0,120.0,abstain,0.45
37,638,Remove Incentives from NonStrategic Pools,Text,PASSED,75.0,12.0,1.0,15.0,22.0,125.0,yes,0.6
38,635,Signaling proposal to match external XPLA incentives to XPLAOSMO pool 1173 on Osmosis AMM,Text,REJECTED,14.0,55.0,1.0,31.0,23.0,124.0,no,0.4435483870967742
39,620,Upload Alpine Pay Core contract,StoreCode,REJECTED,6.0,40.0,2.0,37.0,33.0,118.0,no,0.3389830508474576
40,610,Expedited Repair migration for already approved CL pools,unknown,PASSED,44.0,47.0,0.0,11.0,24.0,126.0,no,0.373015873015873
41,605,Signaling Proposal Remove Unverified Status from Gelotto GLTO Token,Text,PASSED,41.0,13.0,0.0,41.0,27.0,122.0,yes,0.3360655737704918
42,593,Community Spend Match Kava Rise Rewards for three months,CommunityPoolSpend,PASSED,65.0,6.0,0.0,21.0,28.0,120.0,yes,0.5416666666666666
43,577,Signaling Proposal for WHALEOSMO External Incentive Match Extension,Text,REJECTED,4.0,58.0,0.0,24.0,32.0,118.0,no,0.4915254237288136
44,576,Add NOMOSMO 882 to External Incentive Matching program,Text,PASSED,19.0,37.0,0.0,35.0,27.0,118.0,no,0.3135593220338983
45,572,Signaling Proposal Matching External QSR incentives to QSROSMO pool 1060 on Osmosis AMM,Text,PASSED,71.0,4.0,0.0,16.0,28.0,119.0,yes,0.5966386554621849
46,569,Signaling Proposal for WHALEOSMO into Regular Incentive Program on Osmosis,Text,REJECTED,19.0,40.0,0.0,31.0,30.0,120.0,no,0.3333333333333333
47,568,Create Supercharged Pools for CRO MATIC and BNB,unknown,REJECTED,26.0,45.0,0.0,14.0,33.0,118.0,no,0.3813559322033898
48,567,Disposition of ProtoRev Collected Revenues,Text,REJECTED,24.0,31.0,0.0,32.0,31.0,118.0,abstain,0.2711864406779661
