voter,dydx_6,dydx_24,dydx_44,dydx_47,dydx_48,dydx_138,dydx_142,dydx_144,dydx_154,dydx_156,dydx_157,dydx_164,dydx_165,dydx_175,dydx_176,cluster_label
Frens ,ABSTAIN,YES,YES,YES,NO,ABSTAIN,YES,YES,YES,YES,ABSTAIN,NO,YES,YES,ABSTAIN,3
Cosmostation,ABSTAIN,YES,YES,ABSTAIN,NO,YES,,YES,YES,YES,YES,ABSTAIN,ABSTAIN,YES,YES,3
NodesGuru,ABSTAIN,NO,ABSTAIN,ABSTAIN,NO,ABSTAIN,YES,ABSTAIN,NO_VOTE,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,1
Coinage x DAIC,NO,YES,YES,YES,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,3
Dora Factory,ABSTAIN,NO_VOTE,YES,,NO,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,ABSTAIN,ABSTAIN,NO_VOTE,NO_VOTE,YES,YES,6
blockscape,ABSTAIN,,,,,,,,,,,,,,,3
Keplr,ABSTAIN,,YES,ABSTAIN,NO,NO,YES,YES,YES,,,NO,ABSTAIN,YES,ABSTAIN,0
Stakecito,ABSTAIN,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,3
polkachucom,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,3
Meria,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,ABSTAIN,YES,YES,YES,YES,7
PRO Delegators,NO,NO,YES,YES,ABSTAIN,NO,NO,NO,NO,ABSTAIN,ABSTAIN,NO,NO,ABSTAIN,NO,7
Interstellar Lounge ,YES,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,NO,YES,ABSTAIN,YES,6
DELIGHT,ABSTAIN,,ABSTAIN,NO,NO,,,YES,,,,,,,ABSTAIN,7
DSRV,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,,,,,,,,,,,3
Blockdaemon,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,YES,NO_VOTE,YES,NO,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,3
DACM,,,YES,NO,,YES,YES,YES,,ABSTAIN,ABSTAIN,ABSTAIN,YES,,,4
strangelove,,,YES,,,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,1
Allnodes,,YES,NO,ABSTAIN,NO,YES,YES,YES,YES,ABSTAIN,ABSTAIN,NO,YES,NO,YES,3
Everstake,,YES,ABSTAIN,YES,ABSTAIN,,,,,,,,,,,6
Enigma,NO,,YES,WEIGHTED_VOTE,NO,,YES,YES,YES,ABSTAIN,YES,NO,YES,YES,YES,7
HashKey Cloud,ABSTAIN,YES,YES,,,ABSTAIN,YES,YES,YES,,,,,YES,,7
 ,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,1
Validatriumcom,,,,YES,YES,,,,,,,,,,,2
DO NOT DELEGATE,NO,,,,,,,,,,,,,,,2
Bit Cat,NO_VOTE,NO_VOTE,,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,1
P2PORG  P2P Validator,NO,NO,YES,YES,NO,ABSTAIN,ABSTAIN,YES,YES,YES,NO,NO,YES,YES,NO,7
TTT ,YES,YES,YES,YES,,,,,,,,,,,,7
